Label,Text
Positive,"Kalo tau efek astra menahan Nafsu makan, pas vaksin harusnya jangan sinovac jd nyesel"
Positive,vaksin ke dua astra gak ada efek sampingnya.
Positive,"kirain vaksin astra ga ada efek sampingnya, ternyata efek sampingnya menyayangimu. "
Positive,"Efek vaksin Astra Zeneca, - Dosis 1: telapak tangan & kaki dingin, menggigil parah kalau kena air - Dosis 2: ngantuk parah dari sehabis vaksin sampai hari ini Gak ada demam & efek samping lainnya yg sampe parah banget. "
Positive,"Pengalaman vaksin pertama.  kalau mau vaksin itu gak usah ""ditakut takuti"" efeknya. Emang apa beda sinovac sama astra ? Astra itu efek nya lebih berat dari sinovac, astra bisa demam, nyeri, mual kata petugas penyambut."
Positive,"Aku kan Astra merek vaksin nya pas yang pertama aku mengigil panas, nah kemarin efek samping nya laper terus. Setiap orang beda² sih efek samping nya"
Positive,"Atasan baru saja lolos Kak. Makannya tadi Aq vaksin barengan. Untung cuma Tensi... Alhamdulillah Puji Tuhan, aman setelah suntik tadi. Bahkan gak ada efek samping. Tapi emang gak disarankan banget buat yg komorbid. Kalau sinovac gak pakai cek gula darah. Kemarin Astra gagal atasanku"
Positive,: astra ya? vaksin pertama dulu ada efek samping ga? : ngga mas. : ngga demam? : alhamdulillah ngga. : sakti ya?
Positive,"udh 2x astra, alhamdulillah ga ada efek samping apa2. cuma abis vaksin itu bawaannya laper pengen makan mulu"
Positive,"Selamat, sudah lulus vaksin. Astrazeneca biasanya dosis kedua lebih ringan efek samping nya."
Positive,"Astra, sehat sehat sejauh ini Vaksin dosis ke 2 juga efek nya gk sampe demam, cuma nyeri di tangan dan sehari udh ilang"
Positive,"wah bagus dong kl bisa dpt astra, tp tetep sih tergantung kondisi badan tiap org jg ya. soalnya efek vaksin juga di badan org beda2. kl di aku pas vaksin pertama tuh setelah itu selang beberapa jam aku meriang beberapa jam, trs udh besoknya udh cuma sisa lemes nya aja pegel gt"
Positive,"Aku sudah vaksin ke 2 pakai astra, kalo aku pribadi cuma mengantuk selebihnya tidak ada efek apa apa ke tubuhku cuma mengantuk itu aja sih"
Positive,orang orang vaksin pake astra katanya efeknya lumayan berat ya. ini udh vaksin dua kali tapi kok ga ada efek apa apa ya. malah jadi kepikiran jangan jangan salah vaksin
Positive,"Jadi.. efek samping vaksin astra tuh jadi ngantuk atau malah susah tidur?? di aku knp susah tidur kirain bakal ngantuk, tidur pulas, nyatanya tiap jam melek segar, kayak ga ngantuk gitu."
Positive,"kebetulan saya tadi pagi abis vaksin astra, tapi kok sejauh ini ga ada efek apa2, gatau kalau nanti malam "
Positive,"mantap bgt emg efek vaksin astra, sampe megang handphone aja gk bisa karena bener2 selemas dan sepusing itu"
Positive,Ada reaksi efek sampingnya kah? Aku dpt astra gk merasakan reaksi apa2 jd suudzon kagak isi vaksin
Positive,"Udah vaksin 2x pakai astrazeneca, aku pribadi efeknya cuma mengantuk aja gak ada gejala meriang, mual, pusing"
Positive,"Aku vaksin 1 sama 2 pake astra, yg kedua gak ada efek apa2"
Positive,"Aku kemarin Jumat vaksin astra yg ke dua, ga ada efek apa² sih, cuma lengan bekas suntikannya pegel nyeri² tapi ga demam ky yg pertama"
Positive,"aku juga vaksin pertama Astra tapi ga ada efek samping apa apa  cuma kebas lengan ku, takut kalo vaksin kedua efek sampingnya makin terasa"
Positive,"aku juga astra, dosis 1 emang efeknya mantep meriang sampe 2 harian tapi dosis 2 ga ada efek sama sekali kok, pegel juga cuma dikit ga separah yg pertama, ayo vaksin yuk jangan takut"
Positive,"aku dpt astra juga, dan efek setelah dosis pertama cuma demam aja sih sama lemes gitu. demamnya jg ga terlalu tinggi kok, cukup minum paracetamol aja.  dosis kedua malah ga ada efek sama sekali. jadi jgn takut dikasih vaksin astra ya."
Positive,"Aku dosis per 1 ada efek ngilu, demam, cepet laper , justru yg ke 2 gak ada efeknya vaksin Astra"
Positive,"aku astra, vaksin pertama kedua ga berasa apa apa. cuma sakit di lengan ya kaya abis suntik biasanya. sisanya gak ada efek sm sekali. beda beda tiap orang, tergantung imun"
Positive,"ada yg ngerasain efek vaksin kedua astra ga?? heran kok ini abis vaksin kedua ga ada efek sama sekali sehat bugar aja, padahal yg pertama luar biasa sekalii"
Positive,ayah gue 45 tahun bulan juni kmrn vaksin pke astra ya namanya jg astra jdi ada efek samping nya. abis vaksin dia meriang dah pokoknya tpi besoknya dah tidak apa apa kok. jadi klo bapak kamu mo vaksin cari aja vaksin ya kira2 efek sampingnya ga gede klo dlu mungkin sinovac tpi skrng dah ga ada
Positive,"Astra jg tidak apa apa kok, aku astra vaksin 1 mantep bgt trus yg 2 aman ga ada efek kok, cuma yg pertama berasa bgt "
Positive,"Aq kmrn divaksin Astra ,aq tanya kenapa karena 2 teman ku yg datang bareng aq divaksin sinovac dengan alasan umur ku yang hampir 40 thn jadi ketahanan tubuhnya lebih bagus, kebetulan habis vaksin, alhamdulillah tidak mengalami efek apapun"
Positive,alhamdulillah vaksin astrazeneca walaupun efek sampingnya demam
Positive,Alhamdulillah mas suami ku kmrn baru saja vaksin dosis 2 Astra dan gak ada efek samping apapun. Semua tergantung kondisi tubuh masing2. Banyak minum air putih setelah di suntik
Positive,alhamdulillah gak ada efek apa-apa cuma ngilu bekas suntikan aja
Positive,Aku vaksin pakai astra juga meriang semua badan ku
Positive,"Aku vaksin astra, waktu dosis 1 demam 2 hari, yg dosis 2 alhamdulillah udh ga ada efek apa2 cuma pegel dibekas suntikannya aja tpi sehari doang ilang"
Positive,"Aku vaksin astra tapi ga ada efek apapun, kek normal aja, cuma yang ke 2 aga lebih pegel dari yang pertama, kalau kaya demam atau yang lain sih ga ada"
Positive,"aku vaksin Astra juga, awalnya gak ada efek apapun tapi pas dibawa tidur badan akhirnya demam, mual, sama tangan pegel, tapi Alhamdulillah cuma satu malem, kalau tangan pegel 3 harian. besoknya sehat lagi sisa lemes aja dan sekarang udah sembuh"
Positive,"Aku sudah vaksin, di suntik vaksin Sinovac efek, lapar, ngantuk, sedikit demam.  AstraZeneca efek, sakit panas demam harus selalu sedia obat parasetamol byk istirahat, tidak perlu takut harus santai dan santai pikirannya"
Positive,"Diriku hebat juga, vaksin 1&2 Astra Zeneca gak ada efek menyeramkan, kecuali ngantuk dan pegel pegel enak. Padahal banyak yang bisa sampai demam."
Positive,"efek vaksin Astra dosis dua gak kerasa apa apa, tangan juga gak kebas, gak kayak dosis vaksin pertama yang sampe bikin meriang seharian :D"
Positive,"ga ada keluhan efek vaksin dosis 2 astra sama sekali, Alhamdulillah badan aman"
Positive,"Enggak juga. Alhamdulillah saya 2x vaksin astra, tdk ada efek yg signifikan. Yg saya rasakan, dosis 1 ngantuk berat & nafsu makan meningkat. Dosis 2, agak ngantuk saja, tp kalau rasa pegal dan linu di area suntikan ada sekitar 3 hari. Tapi emang teman ada yg demam ketika vaksin ke-1"
Positive,"gw astra yg k2 ga ada efek apa2. malem doang demam, besokannya tidak apa apa. pas siang abis vaksin ga ada reaksi apa2"
Positive,"Gue vaksin astrazeneca, orang tua sinovac. Orang tua ga ada efek samping sama sekali sedangkan gue efek sampingnya cuma demam sehari, abis tu sehat vaksin kedua malah ga ada efek sama sekali"
Positive,"Karna kemarin di Indo belum sempet vaksin AZ dosis 2 jadinya aku harus ulang vaksin di hungaria. Tp kali ini aku pake vaksin johnson  yang cuma dosis aja. Kemarin abis Astra dosis 1 kan aku sehat segar bugar, mari review efek dari j&j dalam 24 jam kedepan"
Positive,"Kalo kamu mikir yg macam - macam bagaimana kamu mau sehat? Mikir yg baik2 kayak "" ini efek dari vaksin karna katanya vaksin astra itu keras. Aku pasti bisa sembuh!"". Yuk HILANGIN PIKIRAN NEGATIF NYA dan segera minum paracetamol, fokus dengan makanan yg bergizi & istirahat yg cukup"
Positive,Kek nya vaksin dosis 2 bukan nya sakit ko malah laper si efek nya padahal astra tidak seperti yang pertama .
Positive,Kata temen gw yg vaksin astra sih yg dosis ke 2 ga ada efek apa apa
Positive,Ketika si mati rasa ditanya apa efek vaksin dosis kedua Astra ? aku :” ga ada aman2 aja gua dosis pertama dan kedua gak terasa apa2
Positive,"kenapa ya aku abis vaksin ga ada efek kek org org sampe demam gitu. Cuma pegel doang tangannya. Dosis pertama dan kedua, kek gitu. Btw aku vaksin astra"
Positive,"Mama ku vaksin astra efek nya 3 harian demam terus, tpi alhamdulillah setelah 3 hari si sembuh. Berpikiran positif aja dulu yuk, tidak apa apa vaksin"
Positive,"mama ku jg vaksin astra, efeknya kek dipukul masa katanya (badan pegel2, lemes, pusing) tp abis itu sembuh kok itu cuma efek samping dan astra ini emang dosisnya agak tinggi dari yg lain. alhamdulillah mama ku sehat walafiat. kamu jangan mikir yg gak2 nanti malah makin drop"
Positive,"Okee udah lama abis dosis 2 astra dan ga ada efek apa2 olahraga yang mau vaksin paling penting, aing dosis 1 2 aman ga demam2an"
Positive,"Mungkin emang efek di badan beda2 ya. Sy pke astra tgn cm pegel aja, gak demam, terus malah laper abis vaksin padahal sebelum vaksin udah sarapan."
Positive,"untung pake astra ngga ada efek nya, mungkin respon tubuh masing-masing berbeda"
Positive,"Masyarakat itu pilih (vaksin). Astra ini kan KIPI nya agak lumayan tinggi, sementara kita sudah terbiasa pakai sinovac yang efek sampingnya rendah, bahkan tidak ada sama sekali"
Positive,"sebelum vaksin udah makan blm? Kalo blm pasti ada efek samping apa lg ada penyakit kyk maag. Efek vaksin astra emg kuat kok, mangkanya banyak yg abis vaksin dikasih paracetamol, mending kamu minum paracetamol"
Positive,"tpi klo efek vaksin, aku pake nya astra.. Demam udh berlalu.. Kalo pake sinovac pasti ngantuk dan laper terus.. Bingung jg.. Emang udh kek kena sirep.."
Positive,"tidak perlu panik aku juga vaksin astra masih hidup, emang efek nya bikin panas, pusing, meriang gtu dah nanti jarak 3 harian dah ga gtu lagi kok"
Positive,"tiap orang daya tahan tubuhnya beda beda, aku astra juga, vaksin 1 & 2 ga ada efek, jadi obatnya ga aku minum, jaga kondisi aja pas mau vaksin."
Positive,"temenku vaksin astra normal semua memang awalnya mereka mual, demam, tapi hanya 3 hari aja setelah itu sembuh (ga semua org kek temen""ku) Aku dan beberapa temen lainnya vaksin sinovac ga ada efek sama sekali cuma tiba tiba gatel di area suntikan, ga lama kemudian aku gampang alergi makanan."
Positive,"Sumpah ya, baru kali ini dengar ada yg bilang 'vaksin astra banyak yg meninggal' ya kesal ya gak percaya juga. Soalnya aku dan beberapa banyak orang terdekat aku vaksin pake astra dan mereka Alhamdullilah baik2 aja. Cuma emang efek vaksin pertama dari astra begitu."
Positive,"Udah, ayah ku 64 tahun vaksin lengkap jenis astra Alhamdulillah ngga ada efek yang bahaya cuma gampang laper sama ngantuk aja sih"
Positive,Vaksin Astrazeneca pun tidak menimbulkan efek samping di gue. Alhamdulillah. Ya kalo ini sih cukup dengan tidur yang cukup aja udah oke.
Positive,yaa gtu ya. Jdi yg astra yg ada efek sampingnya yaa? Tapi teman2 ku pada drop semua abis vaksin sinovac.
Positive,"temenku pake astra ngga ada apa-apa, mungkin imun masing-masing kali ya"
Positive,"aku vaksin 1-2 pake astra  cara cuman minum paracetamol, air putih banyak, selimutan, efek bertahan 1-3 hari di bbrp orang bisa lebih"
Positive,"pake astrazeneca, ga ada efek samping yg parah cm ngantuk doang"
Positive,yang penting harus dalam keadaan fit mas. ibu dapet astrazeneca juga tapi ngga ada efek samping 
Positive,AstraZeneca. Nggak ada efek samping apa apa
Positive,dapet astrazeneca tapi ga ada efek apa-apa
Positive,Melawan efek Astrazeneca dengan membuat sagu keju
